hash;data_de_cadastro;canal_de_atendimento;denuncia_emergencial;denunciante;cenario_da_violacao;pais;uf;municipio;frequencia;inicio_das_violacoes;sl_quantidade_vitimas;grupo_vulneravel;motivacao;relacao_vitima_suspeito;sl_vitima_cadastro;genero_da_vitima;orientacao_sexual_da_vitima;faixa_etaria_da_vitima;nacionalidade_da_vitima;sl_vitima_naturalidade;sl_vitima_naturalizado_uf;sl_vitima_naturalizado_municipio;deficiencia_da_vitima;doenca_rara_da_vitima;deficiencia_relacionada_a_doenca_rara;vitima_preso_a;pais_da_vitima;uf_da_vitima;municipio_da_vitima;profissao_da_vitima;grau_de_instrucao_da_vitima;religiao_da_vitima;raca_cor_da_vitima;etnia_da_vitima;faixa_de_renda_da_vitima;natureza_juridica_do_suspeito;genero_do_suspeito;orientacao_sexual_do_suspeito;faixa_etaria_do_suspeito;suspeito_nacionalidade;sl_suspeito_naturalidade;sl_suspeito_naturalizado_uf;sl_suspeito_naturalizado_municipio;deficiencia_do_suspeito;doenca_rara_do_suspeito;deficiencia_relacionada_a_doenca_rara_suspeito;suspeito_preso;pais_do_suspeito;uf_do_suspeito;sl_suspeito_municipio;profissao_do_suspeito;grau_de_instrucao_do_suspeito;religiao_do_suspeito;raca_cor_do_suspeito;suspeito_etnia;faixa_de_renda_do_suspeito;vinculo_orgao_pj_do_suspeito;sl_suspeito_ramo;suspeito_especificacao_etnia;vitima_especificacao_etnia;violacao
C92C4E7C0847DA0DDC6422EDF667E5B9CCF7C044246C64504CBF0DC36061903A;2025-07-02 13:51:57.783;TELEFÔNICO;NÃO;TERCEIRO;LOCAL DE TRABALHO DO AGRESSOR;CL | CHILE;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;DIARIAMENTE;HÁ MAIS DE UM ANO;1;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;;OUTROS;COMUNIDADE/FAMÍLIA;;;30 A 34 ANOS;BR | BRASIL;;;;;;;;BO | BOLÍVIA;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;;;;NÃO INFORMADO;;;PESSOA JURÍDICA DE DIREITO PRIVADO;;;;BR | BRASIL;;;;;;;;CL | CHILE;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;;;;;;;;OUTRAS ATIVIDADES DE SERVIÇOS;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL
433A7D1BEB88B2BC66FA548554A2D08F68DB022CA24F183A3E426FF512F066F3;2025-07-03 20:27:36.717;TELEFÔNICO;NÃO;TERCEIRO;CASA DA VÍTIMA;BQ | PAÍSES BAIXOS CARIBENHOS;;;DIARIAMENTE;HÁ UM MÊS;1;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;;AMIGO(A);PESSOA FÍSICA;MASCULINO;;10 ANOS;BR | BRASIL;;;;;NÃO;;;BQ | PAÍSES BAIXOS CARIBENHOS;;;;;;BRANCA;;;PESSOA FÍSICA;MASCULINO;NÃO;40 A 44 ANOS;IT | ITÁLIA;;;;;NÃO;;NÃO;BQ | PAÍSES BAIXOS CARIBENHOS;;;OUTROS NÃO LISTADOS;;;BRANCA;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - INTERNACIONAL
140B54BE76137CFB2A3BE2AFD72695694B032243C780D619E8AD9B4D93C8F5DB;2025-07-03 20:27:36.717;TELEFÔNICO;NÃO;TERCEIRO;CASA DA VÍTIMA;BQ | PAÍSES BAIXOS CARIBENHOS;;;DIARIAMENTE;HÁ UM MÊS;1;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;;AMIGO(A);PESSOA FÍSICA;MASCULINO;NÃO;25 A 29 ANOS;BR | BRASIL;;;;;NÃO;;NÃO;BQ | PAÍSES BAIXOS CARIBENHOS;;;;;;PRETA;;;PESSOA FÍSICA;MASCULINO;NÃO;40 A 44 ANOS;IT | ITÁLIA;;;;;NÃO;;NÃO;BQ | PAÍSES BAIXOS CARIBENHOS;;;OUTROS NÃO LISTADOS;;;BRANCA;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL
46CF68BF1ABF5D3A8E0D56ED24F5FF46EFBC944066A198676069D89E23370DD3;2025-07-03 20:27:36.717;TELEFÔNICO;NÃO;TERCEIRO;CASA DA VÍTIMA;BQ | PAÍSES BAIXOS CARIBENHOS;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;DIARIAMENTE;HÁ UM MÊS;1;VIOLÊNCIA CONTRA A MULHER;;AMIGO(A);PESSOA FÍSICA;FEMININO;NÃO;25 A 29 ANOS;BR | BRASIL;;;;;NÃO;;NÃO;BQ | PAÍSES BAIXOS CARIBENHOS;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;;;;BRANCA;;;PESSOA FÍSICA;MASCULINO;NÃO;45 A 49 ANOS;IT | ITÁLIA;;;;;NÃO;;NÃO;BQ | PAÍSES BAIXOS CARIBENHOS;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;OUTROS NÃO LISTADOS;;;BRANCA;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - INTERNACIONAL
433A7D1BEB88B2BC66FA548554A2D08F68DB022CA24F183A3E426FF512F066F3;2025-07-03 20:27:36.717;TELEFÔNICO;NÃO;TERCEIRO;CASA DA VÍTIMA;BQ | PAÍSES BAIXOS CARIBENHOS;;;DIARIAMENTE;HÁ UM MÊS;1;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;;AMIGO(A);PESSOA FÍSICA;MASCULINO;;10 ANOS;BR | BRASIL;;;;;NÃO;;;BQ | PAÍSES BAIXOS CARIBENHOS;;;;;;BRANCA;;;PESSOA FÍSICA;MASCULINO;NÃO;40 A 44 ANOS;IT | ITÁLIA;;;;;NÃO;;NÃO;BQ | PAÍSES BAIXOS CARIBENHOS;;;OUTROS NÃO LISTADOS;;;BRANCA;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL
C504A23D4367F1DCE09F86F222B8FCF89E9D16D8EA4F07ED49F99ED70C99F4E7;2025-07-03 20:27:36.717;TELEFÔNICO;NÃO;TERCEIRO;CASA DA VÍTIMA;BQ | PAÍSES BAIXOS CARIBENHOS;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;DIARIAMENTE;HÁ UM MÊS;1;VIOLÊNCIA CONTRA A MULHER;;AMIGO(A);PESSOA FÍSICA;FEMININO;NÃO;25 A 29 ANOS;BR | BRASIL;;;;;NÃO;;NÃO;BQ | PAÍSES BAIXOS CARIBENHOS;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;;;;BRANCA;;;PESSOA FÍSICA;MASCULINO;NÃO;40 A 44 ANOS;IT | ITÁLIA;;;;;NÃO;;NÃO;BQ | PAÍSES BAIXOS CARIBENHOS;;;OUTROS NÃO LISTADOS;;;BRANCA;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - INTERNACIONAL
C504A23D4367F1DCE09F86F222B8FCF89E9D16D8EA4F07ED49F99ED70C99F4E7;2025-07-03 20:27:36.717;TELEFÔNICO;NÃO;TERCEIRO;CASA DA VÍTIMA;BQ | PAÍSES BAIXOS CARIBENHOS;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;DIARIAMENTE;HÁ UM MÊS;1;VIOLÊNCIA CONTRA A MULHER;;AMIGO(A);PESSOA FÍSICA;FEMININO;NÃO;25 A 29 ANOS;BR | BRASIL;;;;;NÃO;;NÃO;BQ | PAÍSES BAIXOS CARIBENHOS;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;;;;BRANCA;;;PESSOA FÍSICA;MASCULINO;NÃO;40 A 44 ANOS;IT | ITÁLIA;;;;;NÃO;;NÃO;BQ | PAÍSES BAIXOS CARIBENHOS;;;OUTROS NÃO LISTADOS;;;BRANCA;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL
BC6BA827DD4CFF6E9B9AE1AC00831B455700EA7EAE10CC3C4418EBB6A91EB0C8;2025-07-03 20:27:36.717;TELEFÔNICO;NÃO;TERCEIRO;CASA DA VÍTIMA;BQ | PAÍSES BAIXOS CARIBENHOS;;;DIARIAMENTE;HÁ UM MÊS;1;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;;AMIGO(A);PESSOA FÍSICA;MASCULINO;;10 ANOS;BR | BRASIL;;;;;NÃO;;;BQ | PAÍSES BAIXOS CARIBENHOS;;;;;;BRANCA;;;PESSOA FÍSICA;MASCULINO;NÃO;45 A 49 ANOS;IT | ITÁLIA;;;;;NÃO;;NÃO;BQ | PAÍSES BAIXOS CARIBENHOS;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;OUTROS NÃO LISTADOS;;;BRANCA;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - INTERNACIONAL
46CF68BF1ABF5D3A8E0D56ED24F5FF46EFBC944066A198676069D89E23370DD3;2025-07-03 20:27:36.717;TELEFÔNICO;NÃO;TERCEIRO;CASA DA VÍTIMA;BQ | PAÍSES BAIXOS CARIBENHOS;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;DIARIAMENTE;HÁ UM MÊS;1;VIOLÊNCIA CONTRA A MULHER;;AMIGO(A);PESSOA FÍSICA;FEMININO;NÃO;25 A 29 ANOS;BR | BRASIL;;;;;NÃO;;NÃO;BQ | PAÍSES BAIXOS CARIBENHOS;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;;;;BRANCA;;;PESSOA FÍSICA;MASCULINO;NÃO;45 A 49 ANOS;IT | ITÁLIA;;;;;NÃO;;NÃO;BQ | PAÍSES BAIXOS CARIBENHOS;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;OUTROS NÃO LISTADOS;;;BRANCA;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL
BC6BA827DD4CFF6E9B9AE1AC00831B455700EA7EAE10CC3C4418EBB6A91EB0C8;2025-07-03 20:27:36.717;TELEFÔNICO;NÃO;TERCEIRO;CASA DA VÍTIMA;BQ | PAÍSES BAIXOS CARIBENHOS;;;DIARIAMENTE;HÁ UM MÊS;1;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;;AMIGO(A);PESSOA FÍSICA;MASCULINO;;10 ANOS;BR | BRASIL;;;;;NÃO;;;BQ | PAÍSES BAIXOS CARIBENHOS;;;;;;BRANCA;;;PESSOA FÍSICA;MASCULINO;NÃO;45 A 49 ANOS;IT | ITÁLIA;;;;;NÃO;;NÃO;BQ | PAÍSES BAIXOS CARIBENHOS;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;OUTROS NÃO LISTADOS;;;BRANCA;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL
