hash;data_de_cadastro;canal_de_atendimento;denuncia_emergencial;denunciante;cenario_da_violacao;pais;uf;municipio;frequencia;inicio_das_violacoes;sl_quantidade_vitimas;grupo_vulneravel;motivacao;relacao_vitima_suspeito;sl_vitima_cadastro;genero_da_vitima;orientacao_sexual_da_vitima;faixa_etaria_da_vitima;nacionalidade_da_vitima;sl_vitima_naturalidade;sl_vitima_naturalizado_uf;sl_vitima_naturalizado_municipio;deficiencia_da_vitima;doenca_rara_da_vitima;deficiencia_relacionada_a_doenca_rara;vitima_preso_a;pais_da_vitima;uf_da_vitima;municipio_da_vitima;profissao_da_vitima;grau_de_instrucao_da_vitima;religiao_da_vitima;raca_cor_da_vitima;etnia_da_vitima;faixa_de_renda_da_vitima;natureza_juridica_do_suspeito;genero_do_suspeito;orientacao_sexual_do_suspeito;faixa_etaria_do_suspeito;suspeito_nacionalidade;sl_suspeito_naturalidade;sl_suspeito_naturalizado_uf;sl_suspeito_naturalizado_municipio;deficiencia_do_suspeito;doenca_rara_do_suspeito;deficiencia_relacionada_a_doenca_rara_suspeito;suspeito_preso;pais_do_suspeito;uf_do_suspeito;sl_suspeito_municipio;profissao_do_suspeito;grau_de_instrucao_do_suspeito;religiao_do_suspeito;raca_cor_do_suspeito;suspeito_etnia;faixa_de_renda_do_suspeito;vinculo_orgao_pj_do_suspeito;sl_suspeito_ramo;suspeito_especificacao_etnia;vitima_especificacao_etnia;violacao
cf9ff21a1e69dbe974223f167ba6efcf;29/07/2021 12:07;TELEFÔNICO;NÃO;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BRASIL;MG;BELO HORIZONTE;ÚNICA OCORRÊNCIA;NÃO SE APLICA;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;N/D;OUTROS;PESSOA FÍSICA;FEMININO;N/D;RECÉM NASCIDO (ATÉ 90 DIAS ? 3 MESES);BRASIL;NATO;MG;BELO HORIZONTE;N/D;NÃO TEM DOENÇA RARA;;N/D;BRASIL;MG;BELO HORIZONTE;N/D;N/D;N/D;PARDA;N/D;N/D;PESSOA FÍSICA;FEMININO;N/D;45 A 49 ANOS;BRASIL;NATO;;;N/D;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;N/D;BRASIL;MG;BELO HORIZONTE;VENDEDOR DE COMÉRCIO VAREJISTA;N/D;N/D;PRETA;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
0451977c7d1658a3801e414ad4f42a16;04/08/2021 22:23;TELEFÔNICO;NÃO;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BRASIL;SP;CAMPINAS;DIARIAMENTE;HÁ MAIS DE UM ANO;20;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;PARA FINS DE ATIVIDADE ILÍCITA;NÃO SE APLICA;COMUNIDADE;N/D;N/D;;BRASIL;;;;N/D;N/D;;N/D;BRASIL;SP;CAMPINAS;N/D;N/D;N/D;N/D;N/D;N/D;PESSOA FÍSICA;FEMININO;N/D;40 A 44 ANOS;BRASIL;NATO;DENUNCIANTE NÃO SOUBE INFORMAR;;N/D;NÃO TEM DOENÇA RARA;NÃO;NÃO;BRASIL;SP;CAMPINAS;N/D;N/D;N/D;BRANCA;N/D;5 A 15 SM;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
105ee74c81268a30a1919efd41616168;09/08/2021 23:07;TELEFÔNICO;NÃO;TERCEIRO;CASA DO SUSPEITO;BRASIL;GO;GOIÂNIA;N/D;HÁ MAIS DE DEZ ANOS;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;PARA FINS DE ATIVIDADE ILÍCITA;OUTROS;COMUNIDADE;N/D;N/D;;BRASIL;;;;N/D;N/D;;N/D;BRASIL;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;N/D;N/D;N/D;N/D;N/D;N/D;PESSOA FÍSICA;FEMININO;N/D;N/D;N/D;;;;N/D;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;N/D;BRASIL;GO;GOIÂNIA;N/D;N/D;N/D;N/D;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
ecac064019322cf82df83811e45e2d1a;04/08/2021 22:23;TELEFÔNICO;NÃO;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BRASIL;SP;CAMPINAS;DIARIAMENTE;HÁ MAIS DE UM ANO;20;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;PARA FINS DE ATIVIDADE ILÍCITA;NÃO SE APLICA;COMUNIDADE;N/D;N/D;;BRASIL;;;;N/D;N/D;;N/D;BRASIL;SP;CAMPINAS;N/D;N/D;N/D;N/D;N/D;N/D;PESSOA FÍSICA;MASCULINO;N/D;50 A 54 ANOS;BRASIL;NATO;DENUNCIANTE NÃO SOUBE INFORMAR;;N/D;NÃO TEM DOENÇA RARA;NÃO;PENA;BRASIL;SP;CAMPINAS;N/D;N/D;N/D;PARDA;N/D;5 A 15 SM;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
fdf5944ce50ac510523e09cbd37e9270;11/08/2021 09:57;TELEFÔNICO;NÃO;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BRASIL;MS;BATAGUASSU;DIARIAMENTE;HÁ UMA SEMANA;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;PARA FINS DE ADOÇÃO;MÃE;PESSOA FÍSICA;FEMININO;N/D;07 A 09 ANOS;BRASIL;NATO;SP;SÃO PAULO;N/D;NÃO TEM DOENÇA RARA;NÃO;NÃO;BRASIL;MS;BATAGUASSU;ESTUDANTE;ENSINO FUNDAMENTAL INCOMPLETO;N/D;BRANCA;N/D;ATÉ 1 SM;PESSOA FÍSICA;FEMININO;OUTRO;40 A 44 ANOS;BRASIL;NATO;SP;JUNDIAÍ;N/D;NÃO TEM DOENÇA RARA;NÃO;TEMPORÁRIA;BRASIL;MS;BATAGUASSU;N/D;ENSINO FUNDAMENTAL INCOMPLETO;N/D;PARDA;N/D;ATÉ 1 SM;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
5b4ed34860afe9207f25f3db6a2d25c5;04/08/2021 17:38;TELEFÔNICO;NÃO;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BRASIL;SP;ESPÍRITO SANTO DO TURVO;OCASIONALMENTE;NÃO SE APLICA;30;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;PARA FINS DE ADOÇÃO;OUTROS;PESSOA FÍSICA;FEMININO;N/D;15 A 17 ANOS;BRASIL;NATO;;;NÃO TEM DEFICIÊNCIA;NÃO TEM DOENÇA RARA;NÃO;NÃO;BRASIL;SP;ESPÍRITO SANTO DO TURVO;N/D;ENSINO FUNDAMENTAL INCOMPLETO;N/D;BRANCA;N/D;N/D;PESSOA FÍSICA;MASCULINO;N/D;35 A 39 ANOS;BRASIL;;;;NÃO TEM DEFICIÊNCIA;NÃO TEM DOENÇA RARA;NÃO;NÃO;BRASIL;SP;ESPÍRITO SANTO DO TURVO;N/D;N/D;N/D;N/D;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
831fa36342c4da97d7afe7ece0374eb1;04/08/2021 17:38;TELEFÔNICO;NÃO;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BRASIL;SP;ESPÍRITO SANTO DO TURVO;OCASIONALMENTE;NÃO SE APLICA;30;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;PARA FINS DE EXPLORAÇÃO DO TRABALHO.INFORMAL;MÃE;PESSOA FÍSICA;FEMININO;N/D;15 A 17 ANOS;BRASIL;NATO;;;N/D;NÃO TEM DOENÇA RARA;NÃO;NÃO;BRASIL;SP;ESPÍRITO SANTO DO TURVO;N/D;ENSINO FUNDAMENTAL INCOMPLETO;N/D;BRANCA;N/D;N/D;PESSOA FÍSICA;FEMININO;N/D;40 A 44 ANOS;BRASIL;;;;N/D;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;NÃO;BRASIL;SP;ESPÍRITO SANTO DO TURVO;N/D;N/D;N/D;BRANCA;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
e0beb55053311b6374210af6e526910a;13/08/2021 17:53;TELEFÔNICO;NÃO;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BRASIL;SP;SÃO PAULO;DIARIAMENTE;HÁ UM MÊS;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;PARA FINS DE ADOÇÃO;OUTROS;PESSOA FÍSICA;MASCULINO;N/D;02 A 04 ANOS;BRASIL;NATO;DENUNCIANTE NÃO SOUBE INFORMAR;;N/D;NÃO TEM DOENÇA RARA;;N/D;BRASIL;SP;SÃO PAULO;N/D;N/D;N/D;PRETA;N/D;N/D;PESSOA FÍSICA;FEMININO;N/D;50 A 54 ANOS;BRASIL;NATO;SP;SÃO PAULO;N/D;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;NÃO;BRASIL;SP;SÃO PAULO;N/D;ENSINO MÉDIO COMPLETO;N/D;PARDA;N/D;ATÉ 1 SM;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL
780cecb4da3b43201086d98f871686f2;27/08/2021 19:40;TELEFÔNICO;NÃO;ANÔNIMO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BRASIL;RN;NATAL;MENSALMENTE;NÃO SABE INFORMAR;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;PARA FINS DE ATIVIDADE ILÍCITA;DESCONHECIDO(A);PESSOA FÍSICA;MASCULINO;N/D;00 A 01 ANO;BRASIL;;;;N/D;NÃO TEM DOENÇA RARA;;N/D;BRASIL;RN;NATAL;N/D;N/D;N/D;N/D;N/D;N/D;PESSOA FÍSICA;FEMININO;N/D;45 A 49 ANOS;BRASIL;;;;N/D;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;N/D;BRASIL;RN;NATAL;N/D;N/D;N/D;PARDA;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL
6d67d416cc63b121144c0f98499c91a3;25/08/2021 16:54;TELEFÔNICO;NÃO;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BRASIL;RO;PORTO VELHO;ÚNICA OCORRÊNCIA;NÃO SE APLICA;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;EM RAZÃO DE CONDIÇÕES FÍSICAS, SENSORIAIS, INTELECTUAIS OU MENTAIS;PAI;PESSOA FÍSICA;FEMININO;N/D;12 A 14 ANOS;BRASIL;NATO;AC;DENUNCIANTE NÃO SOUBE INFORMAR;N/D;NÃO TEM DOENÇA RARA;;NÃO;BRASIL;RO;PORTO VELHO;ESTUDANTE;ENSINO FUNDAMENTAL INCOMPLETO;ASSEMBLEIA DE DEUS;PARDA;N/D;N/D;PESSOA FÍSICA;MASCULINO;N/D;65 A 69 ANOS;BRASIL;NATO;AC;DENUNCIANTE NÃO SOUBE INFORMAR;N/D;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;NÃO;BRASIL;RO;PORTO VELHO;N/D;ANALFABETO;ASSEMBLEIA DE DEUS;BRANCA;N/D;ATÉ 1 SM;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
