hash;data_de_cadastro;canal_de_atendimento;denuncia_emergencial;denunciante;cenario_da_violacao;pais;uf;municipio;frequencia;inicio_das_violacoes;sl_quantidade_vitimas;grupo_vulneravel;motivacao;relacao_vitima_suspeito;sl_vitima_cadastro;genero_da_vitima;orientacao_sexual_da_vitima;faixa_etaria_da_vitima;nacionalidade_da_vitima;sl_vitima_naturalidade;sl_vitima_naturalizado_uf;sl_vitima_naturalizado_municipio;deficiencia_da_vitima;doenca_rara_da_vitima;deficiencia_relacionada_a_doenca_rara;vitima_preso_a;pais_da_vitima;uf_da_vitima;municipio_da_vitima;profissao_da_vitima;grau_de_instrucao_da_vitima;religiao_da_vitima;raca_cor_da_vitima;etnia_da_vitima;faixa_de_renda_da_vitima;natureza_juridica_do_suspeito;genero_do_suspeito;orientacao_sexual_do_suspeito;faixa_etaria_do_suspeito;suspeito_nacionalidade;sl_suspeito_naturalidade;sl_suspeito_naturalizado_uf;sl_suspeito_naturalizado_municipio;deficiencia_do_suspeito;doenca_rara_do_suspeito;deficiencia_relacionada_a_doenca_rara_suspeito;suspeito_preso;pais_do_suspeito;uf_do_suspeito;sl_suspeito_municipio;profissao_do_suspeito;grau_de_instrucao_do_suspeito;religiao_do_suspeito;raca_cor_do_suspeito;suspeito_etnia;faixa_de_renda_do_suspeito;vinculo_orgao_pj_do_suspeito;sl_suspeito_ramo;suspeito_especificacao_etnia;vitima_especificacao_etnia;violacao
9A076286BC1E7FF6BB476DBD1E06EEAAD046344AFB4E0FE43C7152E071C4604D;2024-07-02 18:21:28.150;TELEFÔNICO;NÃO;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BR | BRASIL;SP;3525904 | JUNDIAÍ;DIARIAMENTE;HÁ UM MÊS;1;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;;MÃE;PESSOA FÍSICA;MASCULINO;;MENOS DE 01 ANO;BR | BRASIL;;;;;NÃO;;;BR | BRASIL;SP;3525904 | JUNDIAÍ;;;;PARDA;;;PESSOA FÍSICA;FEMININO;NÃO;35 A 39 ANOS;BR | BRASIL;;;;;NÃO;;NÃO;BR | BRASIL;SP;3525904 | JUNDIAÍ;OUTROS NÃO LISTADOS;;;PARDA;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL
9A076286BC1E7FF6BB476DBD1E06EEAAD046344AFB4E0FE43C7152E071C4604D;2024-07-02 18:21:28.150;TELEFÔNICO;NÃO;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BR | BRASIL;SP;3525904 | JUNDIAÍ;DIARIAMENTE;HÁ UM MÊS;1;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;;MÃE;PESSOA FÍSICA;MASCULINO;;MENOS DE 01 ANO;BR | BRASIL;;;;;NÃO;;;BR | BRASIL;SP;3525904 | JUNDIAÍ;;;;PARDA;;;PESSOA FÍSICA;FEMININO;NÃO;35 A 39 ANOS;BR | BRASIL;;;;;NÃO;;NÃO;BR | BRASIL;SP;3525904 | JUNDIAÍ;OUTROS NÃO LISTADOS;;;PARDA;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL
161E588ACE5DA18A26AE7AE227A43322FE2345CE63EC2EC92849691100030118;2024-07-03 16:53:35.847;TELEFÔNICO;RISCO IMINENTE DE MORTE DA VÍTIMA;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BR | BRASIL;TO;1713809 | PALMEIRAS DO TOCANTINS;DIARIAMENTE;HÁ MAIS DE UM ANO;1;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;;IRMÃO(Ã);PESSOA FÍSICA;FEMININO;;10 ANOS;BR | BRASIL;;;;;NÃO;;;BR | BRASIL;TO;1713809 | PALMEIRAS DO TOCANTINS;;;;BRANCA;;;PESSOA FÍSICA;FEMININO;NÃO;45 A 49 ANOS;BR | BRASIL;;;;;NÃO;;FLAGRANTE;BR | BRASIL;TO;1713809 | PALMEIRAS DO TOCANTINS;OUTROS NÃO LISTADOS;;;BRANCA;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL
D8DAF1284AE373CB33583F6C57775B05F405730300141332FCA8BCBC9A267EA8;2024-07-03 16:53:35.847;TELEFÔNICO;RISCO IMINENTE DE MORTE DA VÍTIMA;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BR | BRASIL;TO;1713809 | PALMEIRAS DO TOCANTINS;DIARIAMENTE;HÁ MAIS DE UM ANO;1;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;;IRMÃO(Ã);PESSOA FÍSICA;FEMININO;;10 ANOS;BR | BRASIL;;;;;NÃO;;;BR | BRASIL;TO;1713809 | PALMEIRAS DO TOCANTINS;;;;BRANCA;;;PESSOA FÍSICA;MASCULINO;NÃO;70 A 74 ANOS;BR | BRASIL;;;;;NÃO;;FLAGRANTE;BR | BRASIL;TO;1713809 | PALMEIRAS DO TOCANTINS;MÉDICO;;;BRANCA;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL
C5AB2EED1CCC99397D819B4365816725F675B6963A2A90ADA3E6CCFCB6D490BA;2024-07-06 10:16:23.367;TELEFÔNICO;NÃO;O PRÓPRIO AGRESSOR;CASA DO SUSPEITO;BR | BRASIL;MG;3106200 | BELO HORIZONTE;DIARIAMENTE;HÁ UMA SEMANA;1;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;;MÃE;PESSOA FÍSICA;FEMININO;NÃO;RECÉM-NASCIDO (ATÉ 28 DIAS);BR | BRASIL;;;;;NÃO;;NÃO;BR | BRASIL;MG;3106200 | BELO HORIZONTE;;;;PARDA;;;PESSOA FÍSICA;FEMININO;NÃO;30 A 34 ANOS;BR | BRASIL;;;;;NÃO;;NÃO;BR | BRASIL;MG;3106200 | BELO HORIZONTE;OUTROS NÃO LISTADOS;;;PARDA;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL
EFAA252EBC901758545A0086431693AC250A235498884A47C96932D90FBDD362;2024-07-11 12:26:45.760;WHATSAPP;NÃO;TERCEIRO;CASA DA VÍTIMA;BR | BRASIL;SP;3505609 | BARRINHA;DIARIAMENTE;HÁ MAIS DE CINCO ANOS;1;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;;OUTROS;PESSOA FÍSICA;NÃO INFORMADO;NÃO;07 ANOS;BR | BRASIL;;;;;NÃO;;NÃO;BR | BRASIL;SP;3505609 | BARRINHA;;;;NÃO INFORMADO;;;PESSOA FÍSICA;FEMININO;NÃO;;BR | BRASIL;;;;;NÃO;;;BR | BRASIL;SP;3505609 | BARRINHA;;;;;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - INTERNACIONAL
3273450A273C1372493BA2DEBEAA21D6473565271FD2EFE091242A943F4F8368;2024-07-11 12:26:45.760;WHATSAPP;NÃO;TERCEIRO;CASA DA VÍTIMA;BR | BRASIL;SP;3505609 | BARRINHA;DIARIAMENTE;HÁ MAIS DE CINCO ANOS;1;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;;OUTROS;PESSOA FÍSICA;NÃO INFORMADO;NÃO;07 ANOS;BR | BRASIL;;;;;NÃO;;NÃO;BR | BRASIL;SP;3505609 | BARRINHA;;;;NÃO INFORMADO;;;PESSOA FÍSICA;FEMININO;NÃO;;BR | BRASIL;;;;;NÃO;;;BR | BRASIL;SP;3505609 | BARRINHA;;;;;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - INTERNACIONAL
BF531213005D20409FD13DBE1EF394F7020FD1BA8A8033E5707905755A47CF30;2024-07-11 21:01:04.650;TELEFÔNICO;NÃO;TERCEIRO;CASA DO SUSPEITO;BR | BRASIL;SP;3547809 | SANTO ANDRÉ;NÃO SABE INFORMAR;NÃO SABE INFORMAR;1;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;;OUTROS;COMUNIDADE/FAMÍLIA;;;CRIANÇA/ADOLESCENTE IDADE NÃO INFORMADA;BR | BRASIL;;;;;;;;BR | BRASIL;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;;;;NÃO INFORMADO;;;PESSOA FÍSICA;MASCULINO;NÃO;35 A 39 ANOS;BR | BRASIL;;;;;NÃO;;NÃO INFORMADO;BR | BRASIL;SP;3547809 | SANTO ANDRÉ;OUTROS NÃO LISTADOS;;;PRETA;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - INTERNACIONAL
481183EFE5B763C548358E9676B78E33AC29AF1143E8DA9396B0475A65804116;2024-07-13 19:31:55.933;TELEFÔNICO;NÃO;TERCEIRO;VIA PÚBLICA;BR | BRASIL;RJ;3304904 | SÃO GONÇALO;NÃO SABE INFORMAR;NÃO SABE INFORMAR;1;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;;OUTROS;COMUNIDADE/FAMÍLIA;;;30 A 34 ANOS;BR | BRASIL;;;;;;;;BR | BRASIL;RJ;3304904 | SÃO GONÇALO;;;;NÃO INFORMADO;;;PESSOA FÍSICA;MASCULINO;NÃO;;BR | BRASIL;;;;;NÃO;;;BR | BRASIL;RJ;3304904 | SÃO GONÇALO;OUTROS NÃO LISTADOS;;;;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - NACIONAL
F06CA4043E90FE47EDFB089710DB99339C8E453FA5B579C516AD40636D84C529;2024-07-14 12:29:17.377;TELEFÔNICO;RISCO IMINENTE DE MORTE DA VÍTIMA;TERCEIRO;OUTROS;MX | MÉXICO;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;ÚNICA OCORRÊNCIA;NÃO SE APLICA;1;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;;DESCONHECIDO(A);PESSOA FÍSICA;MASCULINO;NÃO;20 A 24 ANOS;BR | BRASIL;;;;;NÃO;;NÃO;MX | MÉXICO;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;;;;PARDA;;;PESSOA FÍSICA;NÃO INFORMADO;NÃO;NÃO INFORMADO;BR | BRASIL;;;;;NÃO;;NÃO INFORMADO;MX | MÉXICO;DENUNCIANTE NÃO SOUBE INFORMAR;DENUNCIANTE NÃO SOUBE INFORMAR;NÃO SABE INFORMAR;;;NÃO INFORMADO;;;;;;;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL
