genero_da_vitima,grupo_vulneravel,faixa_etaria_da_vitima,violacao,count
MASCULINO,"VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE",25 A 29 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,2
FEMININO,VIOLÊNCIA CONTRA A MULHER,18 A 19 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA A MULHER,18 A 19 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA A MULHER,45 A 49 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - INTERNACIONAL,1
FEMININO,VIOLÊNCIA CONTRA A MULHER,30 A 34 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,1
FEMININO,VIOLÊNCIA CONTRA A MULHER,25 A 29 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA A MULHER,25 A 29 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,1
FEMININO,VIOLÊNCIA CONTRA A MULHER,30 A 34 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - INTERNACIONAL,1
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,05 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA A MULHER,35 A 39 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - INTERNACIONAL,1
FEMININO,VIOLÊNCIA CONTRA A MULHER,35 A 39 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,1
FEMININO,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,15 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,20 A 24 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - INTERNACIONAL,1
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,RECÉM-NASCIDO (ATÉ 28 DIAS),LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,MENOS DE 01 ANO,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,CRIANÇA/ADOLESCENTE IDADE NÃO INFORMADA,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,14 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,15 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,16 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,15 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,1
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,12 A 14 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,13 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,14 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,1
