hash;data_de_cadastro;canal_de_atendimento;denuncia_emergencial;denunciante;cenario_da_violacao;pais;uf;municipio;frequencia;inicio_das_violacoes;sl_quantidade_vitimas;grupo_vulneravel;motivacao;relacao_vitima_suspeito;sl_vitima_cadastro;genero_da_vitima;orientacao_sexual_da_vitima;faixa_etaria_da_vitima;nacionalidade_da_vitima;sl_vitima_naturalidade;sl_vitima_naturalizado_uf;sl_vitima_naturalizado_municipio;deficiencia_da_vitima;doenca_rara_da_vitima;deficiencia_relacionada_a_doenca_rara;vitima_preso_a;pais_da_vitima;uf_da_vitima;municipio_da_vitima;profissao_da_vitima;grau_de_instrucao_da_vitima;religiao_da_vitima;raca_cor_da_vitima;etnia_da_vitima;faixa_de_renda_da_vitima;natureza_juridica_do_suspeito;genero_do_suspeito;orientacao_sexual_do_suspeito;faixa_etaria_do_suspeito;suspeito_nacionalidade;sl_suspeito_naturalidade;sl_suspeito_naturalizado_uf;sl_suspeito_naturalizado_municipio;deficiencia_do_suspeito;doenca_rara_do_suspeito;deficiencia_relacionada_a_doenca_rara_suspeito;suspeito_preso;pais_do_suspeito;uf_do_suspeito;sl_suspeito_municipio;profissao_do_suspeito;grau_de_instrucao_do_suspeito;religiao_do_suspeito;raca_cor_do_suspeito;suspeito_etnia;faixa_de_renda_do_suspeito;vinculo_orgao_pj_do_suspeito;sl_suspeito_ramo;suspeito_especificacao_etnia;vitima_especificacao_etnia;violacao
6c2d2ad20daf6bc2575fd9f9eb1902e2;14/02/2022 14:39;TELEFÔNICO;SITUAÇÃO FLAGRANTE - ATÉ 24H DA OCORRÊNCIA - SEM FREQUÊNCIA;ANÔNIMO;NÃO SABE INFORMAR;BRASIL;N/D;N/D;ÚNICA OCORRÊNCIA;NÃO SE APLICA;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;PARA FINS DE ADOÇÃO;DESCONHECIDO(A);PESSOA FÍSICA;FEMININO;N/D;02 A 04 ANOS;BRASIL;NATO;DENUNCIANTE NÃO SOUBE INFORMAR;;N/D;NÃO TEM DOENÇA RARA;;NÃO;BRASIL;BA;CAMAÇARI;N/D;ANALFABETO;N/D;BRANCA;N/D;N/D;PESSOA FÍSICA;FEMININO;N/D;40 A 44 ANOS;BRASIL;NATO;DENUNCIANTE NÃO SOUBE INFORMAR;;N/D;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;NÃO;BRASIL;BA;CAMAÇARI;N/D;N/D;N/D;PRETA;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
6958af386978a85e2a3ace41739ec5d0;08/02/2022 08:17;TELEFÔNICO;NÃO;TERCEIRO;OUTROS;BRASIL;SC;CAMBORIÚ;DIARIAMENTE;HÁ MAIS DE UM ANO;20;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;N/D;OUTROS;COMUNIDADE;N/D;N/D;;N/D;;;;N/D;N/D;;N/D;BRASIL;SC;CAMBORIÚ;N/D;N/D;N/D;N/D;N/D;N/D;PESSOA JURÍDICA DE DIREITO PRIVADO;N/D;N/D;N/D;N/D;;;;N/D;N/D;NÃO SABE INFORMAR;N/D;BRASIL;SC;CAMBORIÚ;N/D;N/D;N/D;N/D;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL
2436c143daea7ba207adb2b243338a46;01/02/2022 08:07;TELEFÔNICO;NÃO;TERCEIRO;CASA DE TERCEIRO;ESTADOS UNIDOS;N/D;N/D;OCASIONALMENTE;HÁ MAIS DE UM ANO;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;PARA OBTENÇÃO DE BENEFÍCIO FINANCEIRO/ GANÂNCIA;PAI;PESSOA FÍSICA;MASCULINO;N/D;15 A 17 ANOS;BRASIL;;;;NÃO TEM DEFICIÊNCIA;NÃO TEM DOENÇA RARA;;NÃO;BRASIL;SC;FLORIANÓPOLIS;GARÇOM;ENSINO MÉDIO INCOMPLETO;SEM RELIGIÃO;PARDA;N/D;3 A 5 SM ;PESSOA FÍSICA;MASCULINO;N/D;40 A 44 ANOS;BRASIL;NATO;MG;BOM JESUS DO GALHO;MENTAL/INTELECTUAL;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;N/D;BRASIL;MG;BOM JESUS DO GALHO;PINTOR DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;CONGREGAÇÃO CRISTÃ NO BRASIL;PARDA;N/D;5 A 15 SM;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
ee4929e91b7f5f4906ac8b3667f59a19;06/02/2022 21:57;WEBCHAT;RISCO IMINENTE DE MORTE DA VÍTIMA;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BRASIL;PR;CURITIBA;DIARIAMENTE;HÁ UMA SEMANA;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;N/D;OUTROS;PESSOA FÍSICA;FEMININO;N/D;15 A 17 ANOS;BRASIL;;;;N/D;NÃO TEM DOENÇA RARA;NÃO;NÃO;BRASIL;PR;CURITIBA;N/D;N/D;N/D;BRANCA;N/D;N/D;PESSOA FÍSICA;MASCULINO;N/D;45 A 49 ANOS;BRASIL;;;;N/D;NÃO TEM DOENÇA RARA;NÃO;NÃO;BRASIL;PR;CURITIBA;N/D;N/D;N/D;BRANCA;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
8091dc720772f7e3082fa1d669b22d17;19/02/2022 18:09;TELEFÔNICO;NÃO;TERCEIRO;CASA DO SUSPEITO;BRASIL;MG;ITANHOMI;MENSALMENTE;HÁ MAIS DE SEIS MESES;10;VIOLAÇÃO DE DIREITOS HUMANOS;PARA FINS DE ATIVIDADE ILÍCITA;NÃO SABE INFORMAR;PESSOA FÍSICA;N/D;N/D;;BRASIL;;;;N/D;NÃO TEM DOENÇA RARA;;N/D;BRASIL;MG;DENUNCIANTE NÃO SOUBE INFORMAR;N/D;N/D;N/D;N/D;N/D;N/D;PESSOA FÍSICA;MASCULINO;N/D;35 A 39 ANOS;BRASIL;NATO;DENUNCIANTE NÃO SOUBE INFORMAR;;N/D;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;N/D;BRASIL;MG;ITANHOMI;N/D;N/D;N/D;BRANCA;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL
828ac3876d0d8399f878e18ff43399bf;23/02/2022 20:49;TELEFÔNICO;SITUAÇÃO FLAGRANTE - ATÉ 24H DA OCORRÊNCIA - SEM FREQUÊNCIA;TERCEIRO;CASA DO SUSPEITO;BRASIL;SP;SÃO PAULO;ÚNICA OCORRÊNCIA;NÃO SE APLICA;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;EM RAZÃO DA IDADE;DESCONHECIDO(A);COMUNIDADE;N/D;N/D;;N/D;;;;NÃO TEM DEFICIÊNCIA;NÃO TEM DOENÇA RARA;;N/D;BRASIL;SP;SÃO PAULO;N/D;N/D;N/D;N/D;N/D;N/D;PESSOA FÍSICA;MASCULINO;N/D;N/D;BRASIL;;;;NÃO TEM DEFICIÊNCIA;NÃO TEM DOENÇA RARA;NÃO;NÃO;BRASIL;SP;SÃO PAULO;N/D;N/D;N/D;N/D;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
c990f8102154a7bf549e566306d98cb2;23/02/2022 13:18;TELEFÔNICO;NÃO;TERCEIRO;CLUBE ESPORTIVO;BRASIL;PE;JATAÚBA;OCASIONALMENTE;HÁ MAIS DE CINCO ANOS;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;N/D;NÃO SABE INFORMAR;PESSOA FÍSICA;FEMININO;N/D;10 A 11 ANOS;BRASIL;NATO;DENUNCIANTE NÃO SOUBE INFORMAR;;N/D;NÃO TEM DOENÇA RARA;;N/D;BRASIL;PE;JATAÚBA;N/D;N/D;N/D;N/D;N/D;N/D;PESSOA FÍSICA;MASCULINO;N/D;60 A 64 ANOS;BRASIL;NATO;DENUNCIANTE NÃO SOUBE INFORMAR;;N/D;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;N/D;BRASIL;PE;JATAÚBA;N/D;N/D;N/D;BRANCA;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
e11d631fc2665b150aa8f0e5951b9783;04/03/2022 00:01;TELEFÔNICO;NÃO;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BRASIL;SP;SÃO CARLOS;DIARIAMENTE;HÁ UMA SEMANA;30;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;DA COABITAÇÃO/ CONVIVÊNCIA FAMILIAR/ RELAÇÃO AFETIVA;FAMILIARES;PESSOA FÍSICA;FEMININO;N/D;12 A 14 ANOS;BRASIL;NATO;BA;DENUNCIANTE NÃO SOUBE INFORMAR;NÃO TEM DEFICIÊNCIA;NÃO TEM DOENÇA RARA;;NÃO;BRASIL;SP;SÃO CARLOS;N/D;ENSINO FUNDAMENTAL INCOMPLETO;N/D;PARDA;N/D;N/D;PESSOA FÍSICA;FEMININO;N/D;45 A 49 ANOS;BRASIL;NATO;DENUNCIANTE NÃO SOUBE INFORMAR;;NÃO TEM DEFICIÊNCIA;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;NÃO;BRASIL;SP;SÃO CARLOS;N/D;N/D;N/D;PARDA;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
71ca19879ebbb39e0a3c11d1cb30bd4e;11/03/2022 15:38;TELEFÔNICO;SITUAÇÃO FLAGRANTE - ATÉ 24H DA OCORRÊNCIA - SEM FREQUÊNCIA;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BRASIL;MS;PONTA PORÃ;ÚNICA OCORRÊNCIA;NÃO SE APLICA;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;EM RAZÃO DA IDADE;OUTROS;PESSOA FÍSICA;FEMININO;N/D;00 A 01 ANO;BRASIL;;;;NÃO TEM DEFICIÊNCIA;NÃO TEM DOENÇA RARA;;N/D;BRASIL;MS;PONTA PORÃ;N/D;N/D;N/D;BRANCA;N/D;N/D;PESSOA FÍSICA;FEMININO;N/D;55 A 59 ANOS;BRASIL;NATO;SP;MARÍLIA;NÃO TEM DEFICIÊNCIA;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;N/D;BRASIL;MS;PONTA PORÃ;PROFESSOR DE LÍNGUA PORTUGUESA;SUPERIOR COMPLETO;N/D;BRANCA;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
c9b59bf52928f0039c2a5cdac82265ba;08/03/2022 13:56;TELEFÔNICO;NÃO;TERCEIRO;AMBIENTE VIRTUAL (NO ÂMBITO DA INTERNET);BRASIL;N/D;N/D;DIARIAMENTE;HÁ MAIS DE SEIS MESES;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;EM PÚBLICO OU POR MEIO QUE FACILITE A DIVULGAÇÃO/ NO ÂMBITO DA INTERNET;NÃO SABE INFORMAR;PESSOA FÍSICA;FEMININO;N/D;15 A 17 ANOS;BRASIL;;;;N/D;NÃO TEM DOENÇA RARA;;N/D;BRASIL;PE;RECIFE;N/D;N/D;N/D;N/D;N/D;N/D;PESSOA FÍSICA;MASCULINO;N/D;30 A 34 ANOS;BRASIL;;;;N/D;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;N/D;BRASIL;PE;RECIFE;N/D;N/D;N/D;BRANCA;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL
bdfcee58a485b6ecc11a33479b723414;07/03/2022 09:29;WHATSAPP;NÃO;ANÔNIMO;CASA DO SUSPEITO;BRASIL;SP;BERTIOGA;DIARIAMENTE;N/D;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;RESULTANDO EM LESÃO SEGUIDA DE MORTE;NÃO SE APLICA;PESSOA FÍSICA;FEMININO;N/D;;BRASIL;;;;N/D;NÃO TEM DOENÇA RARA;;N/D;BRASIL;SP;BERTIOGA;N/D;N/D;N/D;N/D;N/D;N/D;PESSOA FÍSICA;N/D;N/D;N/D;BRASIL;;;;N/D;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;N/D;BRASIL;SP;BERTIOGA;N/D;N/D;N/D;N/D;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
